
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-09-12 00:31:54 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:54 /reception/partners ........................ ~ 500.38ms
  2026-09-12 00:31:54 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:55 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:55 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:55 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:55 /login ..................................... ~ 500.40ms
  2026-09-12 00:31:55 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:55 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:55 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:55 /login ..................................... ~ 500.38ms
  2026-09-12 00:31:55 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:55 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:56 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:56 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:56 /reception/partners ........................ ~ 500.33ms
  2026-09-12 00:31:56 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:56 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:56 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:56 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:56 /login ..................................... ~ 500.40ms
  2026-09-12 00:31:56 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:57 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:57 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:57 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:57 /reception/partners ........................ ~ 500.41ms
  2026-09-12 00:31:57 /login ....................................... ~ 0.03ms
  2026-09-12 00:31:57 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:57 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:57 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:57 /login ..................................... ~ 500.40ms
  2026-09-12 00:31:57 /reception/partners .......................... ~ 0.03ms
  2026-09-12 00:31:58 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:58 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:58 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:58 /reception/partners ........................ ~ 500.39ms
  2026-09-12 00:31:58 /login ....................................... ~ 0.03ms
  2026-09-12 00:31:58 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:58 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:58 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:31:58 /login ..................................... ~ 500.38ms
  2026-09-12 00:31:58 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:59 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:59 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:59 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:59 /reception/partners ........................ ~ 500.38ms
  2026-09-12 00:31:59 /login ....................................... ~ 0.02ms
  2026-09-12 00:31:59 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:31:59 /department/technicians ...................... ~ 0.03ms
  2026-09-12 00:31:59 /login ....................................... ~ 0.01ms
  2026-09-12 00:31:59 /reception/partners ........................ ~ 500.35ms
  2026-09-12 00:31:59 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:00 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:00 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:00 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:00 /login ..................................... ~ 500.41ms
  2026-09-12 00:32:00 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:00 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:00 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:00 /login ..................................... ~ 500.42ms
  2026-09-12 00:32:00 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:00 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:01 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:01 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:01 /reception/partners ........................ ~ 500.37ms
  2026-09-12 00:32:01 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:01 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:01 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:01 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:01 /login ..................................... ~ 500.42ms
  2026-09-12 00:32:01 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:02 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:02 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:02 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:02 /reception/partners ........................ ~ 500.40ms
  2026-09-12 00:32:02 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:02 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:02 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:02 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:02 /login ..................................... ~ 500.40ms
  2026-09-12 00:32:02 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:03 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:03 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:03 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:03 /reception/partners ........................ ~ 500.34ms
  2026-09-12 00:32:03 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:03 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:03 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:03 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:32:03 /login ..................................... ~ 500.42ms
  2026-09-12 00:32:03 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:04 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:04 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:32:04 /login ....................................... ~ 0.01ms
  2026-09-12 00:32:04 /reception/partners ........................ ~ 500.53ms
  2026-09-12 00:32:04 /login ....................................... ~ 0.05ms
  2026-09-12 00:32:04 /reception/partners .......................... ~ 0.03ms
  2026-09-12 00:32:04 /login ....................................... ~ 0.02ms
  2026-09-12 00:32:04 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:35:11 /login ....................................... ~ 0.10ms
  2026-09-12 00:35:11 /login ..................................... ~ 500.47ms
  2026-09-12 00:35:12 /login ....................................... ~ 0.03ms
  2026-09-12 00:35:12 /login ....................................... ~ 0.02ms
  2026-09-12 00:35:12 /login ..................................... ~ 500.47ms
  2026-09-12 00:35:12 /login ....................................... ~ 0.02ms
  2026-09-12 00:35:12 /reception ................................. ~ 500.43ms
  2026-09-12 00:35:13 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:35:13 /reception/customers ......................... ~ 0.01ms
  2026-09-12 00:35:13 /reception/stats ............................. ~ 0.01ms
  2026-09-12 00:35:13 /reception/expenses ........................ ~ 500.43ms
  2026-09-12 00:35:13 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:35:13 /reception/notifications ..................... ~ 0.01ms
  2026-09-12 00:35:13 /reception/lookup ............................ ~ 0.01ms
  2026-09-12 00:35:13 /department ................................ ~ 500.39ms
  2026-09-12 00:35:14 /department/requests ......................... ~ 0.02ms
  2026-09-12 00:35:14 /department/sales ............................ ~ 0.01ms
  2026-09-12 00:35:14 /department/technicians ...................... ~ 0.02ms
  2026-09-12 00:35:14 /department/customers ...................... ~ 500.37ms
  2026-09-12 00:35:14 /department/inventory ........................ ~ 0.03ms
  2026-09-12 00:35:14 /department/financial ........................ ~ 0.02ms
  2026-09-12 00:35:14 /department/notifications .................... ~ 0.01ms
  2026-09-12 00:35:14 /login ....................................... ~ 0.01ms
  2026-09-12 00:35:15 /login ....................................... ~ 0.10ms
  2026-09-12 00:35:15 /reception ................................... ~ 0.02ms
  2026-09-12 00:35:15 /department .................................. ~ 0.01ms
  2026-09-12 00:35:15 /login ....................................... ~ 0.01ms
  2026-09-12 00:35:15 /login ..................................... ~ 500.38ms
  2026-09-12 00:35:15 /reception ................................... ~ 0.02ms
  2026-09-12 00:35:15 /department .................................. ~ 0.01ms
  2026-09-12 00:35:16 /technician ................................ ~ 500.39ms
  2026-09-12 00:35:16 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:35:16 /reception/customers ......................... ~ 0.01ms
  2026-09-12 00:35:16 /reception/expenses .......................... ~ 0.01ms
  2026-09-12 00:35:16 /reception/partners ........................ ~ 500.42ms
  2026-09-12 00:35:16 /reception ................................... ~ 0.02ms
  2026-09-12 00:35:16 /reception/inventory ......................... ~ 0.01ms
  2026-09-12 00:35:16 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:35:17 /reception ................................. ~ 500.37ms
  2026-09-12 00:35:17 /reception/requests/16/notes ................. ~ 0.02ms
  2026-09-12 00:35:17 /reception ................................. ~ 500.41ms
  2026-09-12 00:35:17 /reception/requests/16/parts ................. ~ 0.02ms
  2026-09-12 00:35:17 /reception ................................... ~ 0.02ms
  2026-09-12 00:35:17 /reception/requests/16 ..................... ~ 500.42ms
  2026-09-12 00:35:18 /reception/expenses .......................... ~ 0.02ms
  2026-09-12 00:35:18 /reception/requests/16 ..................... ~ 500.37ms
  2026-09-12 00:35:18 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:35:18 /reception/requests/16 ....................... ~ 0.01ms
  2026-09-12 00:35:19 /department/sales ............................ ~ 0.08ms
  2026-09-12 00:35:19 /department/technicians .......................... ~ 1s
  2026-09-12 00:36:46 /login ....................................... ~ 0.09ms
  2026-09-12 00:36:47 /login ..................................... ~ 500.40ms
  2026-09-12 00:36:47 /login ....................................... ~ 0.02ms
  2026-09-12 00:36:47 /login ..................................... ~ 500.39ms
  2026-09-12 00:36:47 /login ....................................... ~ 0.02ms
  2026-09-12 00:36:48 /login ..................................... ~ 500.37ms
  2026-09-12 00:36:48 /reception ................................... ~ 0.02ms
  2026-09-12 00:36:48 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:36:48 /reception/customers ....................... ~ 500.42ms
  2026-09-12 00:36:48 /reception/stats ............................. ~ 0.02ms
  2026-09-12 00:36:48 /reception/expenses .......................... ~ 0.01ms
  2026-09-12 00:36:48 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:36:49 /reception/notifications ................... ~ 500.38ms
  2026-09-12 00:36:49 /reception/lookup ............................ ~ 0.02ms
  2026-09-12 00:36:49 /department .................................. ~ 0.01ms
  2026-09-12 00:36:49 /department/requests ......................... ~ 0.01ms
  2026-09-12 00:36:49 /department/sales .......................... ~ 500.49ms
  2026-09-12 00:36:49 /department/technicians ...................... ~ 0.03ms
  2026-09-12 00:36:49 /department/customers ........................ ~ 0.02ms
  2026-09-12 00:36:49 /department/inventory ........................ ~ 0.02ms
  2026-09-12 00:36:50 /department/financial ...................... ~ 500.44ms
  2026-09-12 00:36:50 /department/notifications .................... ~ 0.02ms
  2026-09-12 00:36:50 /login ....................................... ~ 0.02ms
  2026-09-12 00:36:50 /login ....................................... ~ 0.01ms
  2026-09-12 00:36:50 /reception ................................. ~ 500.40ms
  2026-09-12 00:36:50 /department .................................. ~ 0.02ms
  2026-09-12 00:36:50 /login ....................................... ~ 0.01ms
  2026-09-12 00:36:50 /login ..................................... ~ 500.39ms
  2026-09-12 00:36:51 /reception ................................... ~ 0.02ms
  2026-09-12 00:36:51 /department .................................. ~ 0.01ms
  2026-09-12 00:36:51 /technician .................................. ~ 0.01ms
  2026-09-12 00:36:51 /reception/inventory ....................... ~ 500.39ms
  2026-09-12 00:36:51 /reception/customers ......................... ~ 0.02ms
  2026-09-12 00:36:51 /reception/expenses .......................... ~ 0.01ms
  2026-09-12 00:36:51 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:36:52 /reception ................................. ~ 500.37ms
  2026-09-12 00:36:52 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:36:52 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:36:52 /reception ................................... ~ 0.02ms
  2026-09-12 00:36:52 /reception/requests/16/notes ................. ~ 0.10ms
  2026-09-12 00:36:52 /reception/requests/16/parts ................. ~ 0.02ms
  2026-09-12 00:36:52 /reception/requests/16 ....................... ~ 0.01ms
  2026-09-12 00:36:53 /reception/expenses ........................ ~ 500.40ms
  2026-09-12 00:36:53 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:36:53 /department/sales ............................ ~ 0.01ms
  2026-09-12 00:36:53 /department/technicians .......................... ~ 1s
  2026-09-12 00:37:17 /login ....................................... ~ 0.12ms
  2026-09-12 00:37:17 /login ..................................... ~ 500.36ms
  2026-09-12 00:37:17 /reception ................................... ~ 0.02ms
  2026-09-12 00:37:32 /login ....................................... ~ 0.09ms
  2026-09-12 00:37:32 /login ....................................... ~ 0.02ms
  2026-09-12 00:37:32 /login ..................................... ~ 500.39ms
  2026-09-12 00:37:32 /login ....................................... ~ 0.02ms
  2026-09-12 00:37:33 /login ..................................... ~ 500.42ms
  2026-09-12 00:37:33 /login ....................................... ~ 0.02ms
  2026-09-12 00:37:33 /reception ................................. ~ 500.40ms
  2026-09-12 00:37:33 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:37:33 /reception/customers ......................... ~ 0.02ms
  2026-09-12 00:37:33 /reception/stats ............................. ~ 0.01ms
  2026-09-12 00:37:34 /reception/expenses ........................ ~ 500.39ms
  2026-09-12 00:37:34 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:37:34 /reception/notifications ..................... ~ 0.02ms
  2026-09-12 00:37:34 /reception/lookup ............................ ~ 0.02ms
  2026-09-12 00:37:34 /department ................................ ~ 500.38ms
  2026-09-12 00:37:34 /department/requests ......................... ~ 0.02ms
  2026-09-12 00:37:34 /department/sales ............................ ~ 0.01ms
  2026-09-12 00:37:34 /department/technicians ...................... ~ 0.01ms
  2026-09-12 00:37:35 /department/customers ...................... ~ 500.33ms
  2026-09-12 00:37:35 /department/inventory ........................ ~ 0.02ms
  2026-09-12 00:37:35 /department/financial ........................ ~ 0.01ms
  2026-09-12 00:37:35 /department/notifications .................... ~ 0.01ms
  2026-09-12 00:37:35 /login ..................................... ~ 500.35ms
  2026-09-12 00:37:35 /login ....................................... ~ 0.02ms
  2026-09-12 00:37:36 /reception ................................. ~ 500.39ms
  2026-09-12 00:37:36 /department .................................. ~ 0.02ms
  2026-09-12 00:37:36 /login ....................................... ~ 0.01ms
  2026-09-12 00:37:36 /login ..................................... ~ 500.37ms
  2026-09-12 00:37:36 /reception ................................... ~ 0.02ms
  2026-09-12 00:37:36 /department .................................. ~ 0.03ms
  2026-09-12 00:37:36 /technician .................................. ~ 0.03ms
  2026-09-12 00:37:37 /reception/inventory ....................... ~ 500.48ms
  2026-09-12 00:37:37 /reception/customers ......................... ~ 0.02ms
  2026-09-12 00:37:37 /reception/expenses .......................... ~ 0.01ms
  2026-09-12 00:37:37 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:37:37 /reception ................................. ~ 500.38ms
  2026-09-12 00:37:37 /reception/inventory ......................... ~ 0.02ms
  2026-09-12 00:37:37 /reception/partners .......................... ~ 0.01ms
  2026-09-12 00:37:37 /reception ................................... ~ 0.02ms
  2026-09-12 00:37:38 /reception/requests/16/notes ............... ~ 500.40ms
  2026-09-12 00:37:38 /reception/requests/16/parts ................. ~ 0.02ms
  2026-09-12 00:37:38 /reception/requests/16 ....................... ~ 0.01ms
  2026-09-12 00:37:38 /reception/expenses ........................ ~ 500.42ms
  2026-09-12 00:37:38 /reception/partners .......................... ~ 0.02ms
  2026-09-12 00:37:38 /department/sales ............................ ~ 0.01ms
  2026-09-12 00:37:38 /department/technicians .................... ~ 500.40ms
  2026-09-12 00:37:56 /login ..................................... ~ 500.35ms
  2026-09-12 00:37:56 /fonts/cairo-arabic.woff2 .................... ~ 0.04ms
  2026-09-12 00:37:56 /css/app.css?v=1789168546 .................... ~ 0.15ms
  2026-09-12 00:37:56 /logo.jpg .................................... ~ 0.25ms
  2026-09-12 00:37:56 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:37:56 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:37:56 /logo.jpg .................................... ~ 0.02ms
  2026-09-12 00:38:01 /login ..................................... ~ 500.39ms
  2026-09-12 00:38:01 /reception ................................... ~ 0.02ms
  2026-09-12 00:38:02 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-12 00:38:02 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-12 00:38:02 /logo.jpg .................................... ~ 0.27ms
  2026-09-12 00:38:02 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:38:02 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:09 /reception/inventory ....................... ~ 500.35ms
  2026-09-12 00:38:09 /fonts/cairo-arabic.woff2 .................... ~ 0.02ms
  2026-09-12 00:38:09 /css/app.css?v=1789168546 .................... ~ 0.02ms
  2026-09-12 00:38:09 /logo.jpg .................................... ~ 0.15ms
  2026-09-12 00:38:09 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:38:09 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:38:10 /reception/customers ......................... ~ 0.10ms
  2026-09-12 00:38:10 /css/app.css?v=1789168546 .................... ~ 0.12ms
  2026-09-12 00:38:10 /fonts/cairo-arabic.woff2 .................... ~ 0.30ms
  2026-09-12 00:38:10 /logo.jpg .................................... ~ 0.41ms
  2026-09-12 00:38:10 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:38:10 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:11 /reception/stats ............................. ~ 0.10ms
  2026-09-12 00:38:12 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-12 00:38:12 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-12 00:38:12 /logo.jpg .................................... ~ 0.01ms
  2026-09-12 00:38:12 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:12 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:38:13 /reception/expenses .......................... ~ 0.10ms
  2026-09-12 00:38:13 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-12 00:38:13 /fonts/cairo-arabic.woff2 .................... ~ 0.16ms
  2026-09-12 00:38:13 /logo.jpg .................................... ~ 0.27ms
  2026-09-12 00:38:13 /js/alpine.min.js ............................ ~ 0.45ms
  2026-09-12 00:38:13 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:14 /reception/partners .......................... ~ 0.11ms
  2026-09-12 00:38:14 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-12 00:38:14 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-12 00:38:14 /logo.jpg .................................... ~ 0.25ms
  2026-09-12 00:38:14 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:38:14 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:38:22 /logout .................................... ~ 500.37ms
  2026-09-12 00:38:23 /login ....................................... ~ 0.11ms
  2026-09-12 00:38:23 / .......................................... ~ 500.37ms
  2026-09-12 00:38:23 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-12 00:38:23 /fonts/cairo-arabic.woff2 .................... ~ 0.16ms
  2026-09-12 00:38:23 /logo.jpg .................................... ~ 0.26ms
  2026-09-12 00:38:23 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:23 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:28 /login ....................................... ~ 0.08ms
  2026-09-12 00:38:28 / ............................................ ~ 0.02ms
  2026-09-12 00:38:28 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-12 00:38:28 /fonts/cairo-arabic.woff2 .................... ~ 0.16ms
  2026-09-12 00:38:28 /logo.jpg .................................... ~ 0.26ms
  2026-09-12 00:38:28 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:38:28 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:42 /logout ...................................... ~ 0.08ms
  2026-09-12 00:38:42 / ............................................ ~ 0.02ms
  2026-09-12 00:38:43 /fonts/cairo-arabic.woff2 .................... ~ 0.02ms
  2026-09-12 00:38:43 /css/app.css?v=1789168546 .................... ~ 0.01ms
  2026-09-12 00:38:43 /logo.jpg .................................... ~ 0.02ms
  2026-09-12 00:38:43 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:43 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:44 /login ....................................... ~ 0.08ms
  2026-09-12 00:38:44 /fonts/cairo-arabic.woff2 .................... ~ 0.02ms
  2026-09-12 00:38:44 /css/app.css?v=1789168546 .................... ~ 0.02ms
  2026-09-12 00:38:44 /logo.jpg .................................... ~ 0.13ms
  2026-09-12 00:38:45 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-12 00:38:45 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:38:53 /department/requests ......................... ~ 0.09ms
  2026-09-12 00:38:53 /login ....................................... ~ 0.02ms
  2026-09-12 00:38:54 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-12 00:38:54 /fonts/cairo-arabic.woff2 .................... ~ 0.18ms
  2026-09-12 00:38:54 /logo.jpg .................................... ~ 0.02ms
  2026-09-12 00:38:54 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:54 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:38:55 /department/sales ............................ ~ 0.10ms
  2026-09-12 00:38:55 /login ....................................... ~ 0.02ms
  2026-09-12 00:38:55 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-12 00:38:55 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-12 00:38:55 /logo.jpg .................................... ~ 0.25ms
  2026-09-12 00:38:55 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:55 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:38:57 /department/technicians ...................... ~ 0.13ms
  2026-09-12 00:38:57 /login ..................................... ~ 500.41ms
  2026-09-12 00:38:57 /css/app.css?v=1789168546 .................... ~ 0.05ms
  2026-09-12 00:38:57 /fonts/cairo-arabic.woff2 .................... ~ 0.18ms
  2026-09-12 00:38:57 /logo.jpg .................................... ~ 0.29ms
  2026-09-12 00:38:57 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:57 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:38:58 /department/customers ...................... ~ 500.40ms
  2026-09-12 00:38:58 /login ....................................... ~ 0.02ms
  2026-09-12 00:38:58 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-12 00:38:58 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-12 00:38:58 /logo.jpg .................................... ~ 0.24ms
  2026-09-12 00:38:58 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:38:59 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:39:00 /department/inventory ........................ ~ 0.10ms
  2026-09-12 00:39:00 /login ....................................... ~ 0.02ms
  2026-09-12 00:39:00 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-12 00:39:00 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-12 00:39:00 /logo.jpg .................................... ~ 0.24ms
  2026-09-12 00:39:00 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:39:00 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:39:02 /department/financial ........................ ~ 0.09ms
  2026-09-12 00:39:02 /login ....................................... ~ 0.02ms
  2026-09-12 00:39:02 /fonts/cairo-arabic.woff2 .................... ~ 0.01ms
  2026-09-12 00:39:02 /css/app.css?v=1789168546 .................... ~ 0.02ms
  2026-09-12 00:39:02 /logo.jpg .................................... ~ 0.01ms
  2026-09-12 00:39:02 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:39:02 /fonts/cairo-latin.woff2 ..................... ~ 0.11ms
  2026-09-12 00:39:57 /login ....................................... ~ 0.11ms
  2026-09-12 00:39:57 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-12 00:39:57 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-12 00:39:57 /logo.jpg .................................... ~ 0.01ms
  2026-09-12 00:39:57 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:39:57 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:40:19 /login ....................................... ~ 0.10ms
  2026-09-12 00:40:20 /department/financial ...................... ~ 500.40ms
  2026-09-12 00:40:20 /css/app.css?v=1789168546 .................... ~ 0.05ms
  2026-09-12 00:40:20 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-12 00:40:20 /logo.jpg .................................... ~ 0.26ms
  2026-09-12 00:40:20 /js/alpine.min.js ............................ ~ 0.43ms
  2026-09-12 00:40:20 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:40:31 /department .................................. ~ 0.24ms
  2026-09-12 00:40:31 /css/app.css?v=1789168546 .................... ~ 0.10ms
  2026-09-12 00:40:31 /fonts/cairo-arabic.woff2 .................... ~ 0.35ms
  2026-09-12 00:40:31 /logo.jpg .................................... ~ 0.58ms
  2026-09-12 00:40:31 /js/alpine.min.js ............................ ~ 0.03ms
  2026-09-12 00:40:31 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:40:33 /department/requests ......................... ~ 0.09ms
  2026-09-12 00:40:33 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-12 00:40:33 /fonts/cairo-arabic.woff2 .................... ~ 0.17ms
  2026-09-12 00:40:33 /logo.jpg .................................... ~ 0.29ms
  2026-09-12 00:40:33 /js/alpine.min.js ............................ ~ 0.33ms
  2026-09-12 00:40:33 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-12 00:40:35 /department/sales ............................ ~ 0.08ms
  2026-09-12 00:40:35 /fonts/cairo-arabic.woff2 .................... ~ 0.03ms
  2026-09-12 00:40:35 /css/app.css?v=1789168546 .................... ~ 0.16ms
  2026-09-12 00:40:35 /logo.jpg .................................... ~ 0.02ms
  2026-09-12 00:40:35 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-12 00:40:35 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:40:36 /department/technicians .................... ~ 500.39ms
  2026-09-12 00:40:36 /css/app.css?v=1789168546 .................... ~ 0.05ms
  2026-09-12 00:40:36 /fonts/cairo-arabic.woff2 .................... ~ 0.16ms
  2026-09-12 00:40:36 /logo.jpg .................................... ~ 0.27ms
  2026-09-12 00:40:36 /js/alpine.min.js ............................ ~ 0.33ms
  2026-09-12 00:40:36 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-12 00:40:38 /department/customers ...................... ~ 500.40ms
  2026-09-12 00:40:38 /css/app.css?v=1789168546 .................... ~ 0.06ms
  2026-09-12 00:40:38 /fonts/cairo-arabic.woff2 .................... ~ 0.17ms
  2026-09-12 00:40:38 /logo.jpg .................................... ~ 0.26ms
